5m_range,1h_range,6h_range,5m_mean
"(23978.75, 25267.25)","(23126.75, 25157.25)","(23462.5, 25955.5)",24796.47970479705
"(604.0, 818.0)","(442.875, 646.125)","(469.25, 536.75)",643.9049773755656
"(3875.5, 4030.5)","(3261.0, 3657.0)","(2887.75, 3810.25)",3858.752941176471
"(9430.75, 10019.25)","(9546.25, 10379.75)","(10050.75, 11893.25)",9716.295275590552
"(3510.0, 3827.0)","(3647.25, 4200.75)","(3733.5, 5281.5)",3706.776119402985
"(823.5, 962.5)","(1035.75, 1484.25)","(843.0, 983.0)",894.8208333333333
"(43985.0, 80011.0)","(43995.0, 80005.0)","(11911.125, 48026.875)",82433.13821138212
"(43168.5, 55146.5)","(44769.125, 59416.875)","(38093.25, 44301.75)",51684.239130434784
"(12018.0, 12758.0)","(11876.125, 12563.875)","(11862.0, 12638.0)",12301.922413793103
"(34146.5, 41501.5)","(33306.875, 42341.125)","(34009.5, 38844.5)",42007.07692307692
"(37300.5, 38581.5)","(38090.375, 39004.625)","(38050.25, 39463.75)",38289.08888888889
"(130498.125, 149501.875)","(116426.75, 141831.25)","(51532.5, 87445.5)",137170.48101265822
"(194150.875, 212139.125)","(204921.5, 231140.5)","(231355.0, 263254.0)",203905.37378640776
"(408656.5, 439381.5)","(417369.25, 452622.75)","(430998.875, 517269.125)",424928.00985221675
"(212425.5, 247566.5)","(203640.5, 237682.5)","(238056.75, 263938.25)",238685.31578947368
"(467713.0, 501389.0)","(466095.5, 493385.5)","(441674.375, 519686.625)",476914.4285714286
"(672250.75, 710111.25)","(641932.25, 669990.75)","(657877.875, 746266.125)",689871.4269662921
"(115148.5, 124827.5)","(106620.375, 121935.625)","(105251.125, 114591.875)",118739.69938650307
"(5406418.0, 5631582.0)","(5239063.5, 5783046.5)","(4286280.375, 5320996.625)",5488395.254054054
"(20101954.25, 20316045.75)","(19944139.5, 20635860.5)","(20227682.875, 21088729.125)",20173995.283950616
"(2338.0, 2678.0)","(849.75, 4392.25)","(1486.5, 2651.5)",2475.135135135135
